file_name,file_name.2,file_name.1,freq,if_univariate,size,length,trend,seasonal,stationary,transition,shifting,correlation
遵义市习水县官店镇三星村复兴组坟林杠滑坡.csv,,,other,False,user,1338,,,,,,
遵义市习水县大坡镇小罗村柿坪组滑坡.csv,,,other,False,user,18576,,,,,,
毕节市大方县小屯乡滑石村园丰组滑坡.csv,,,other,False,user,563,,,,,,
铜仁市石阡县聚凤乡高原村茶园组滑坡.csv,,,other,False,user,18577,,,,,,
毕节市威宁县东风镇元木村二组咪发块滑坡.csv,,,other,False,user,18576,,,,,,
黔东南州台江县革一镇排生村1、2、3、4 组排生小学（旧）滑坡.csv,,,other,False,user,966,,,,,,
六盘水市盘州市柏果镇迭脉居委会1-4组滑坡.csv,,,other,False,user,1369,,,,,,
毕节市织金县绮陌街道中营村桦槁林组滑坡.csv,,,other,False,user,966,,,,,,
遵义市汇川区山盆镇太坪村青杠湾组（0815风险斜坡）滑坡.csv,,,other,False,user,954,,,,,,
铜仁市万山区黄道乡锁溪村中黄茶组桐木山滑坡.csv,,,other,False,user,18574,,,,,,
黔南州长顺县长寨街道牛坡村牛坡组滑坡.csv,,,other,False,user,1376,,,,,,
铜仁市思南县青杠坡镇陇水村罗家坡组罗家坡滑坡.csv,,,other,False,user,966,,,,,,
黔西南州普安县白沙乡铁厂村上、下铁厂组上、下铁厂滑坡.csv,,,other,False,user,966,,,,,,
黔西南州贞丰县挽澜镇店子村红稗坝组滑坡.csv,,,other,False,user,18576,,,,,,
黔西南州兴义市捧乍镇小寨村项家沟组寨子后山滑坡.csv,,,other,False,user,18576,,,,,,
毕节市威宁县金钟镇明新村水塘组石街上河边滑坡.csv,,,other,False,user,18575,,,,,,
贵阳市清镇市新店镇方家寨村石灰窑组滑坡.csv,,,other,False,user,966,,,,,,
铜仁市松桃县平头镇平大村二组滑坡.csv,,,other,True,user,1210,,,,,,
黔东南州台江县排羊乡九摆村1、2组滑坡.csv,,,other,True,user,1401,,,,,,
六盘水市六枝特区岩脚镇联合村郭家中寨组郭家中寨滑坡.csv,,,other,False,user,20850,,,,,,
毕节市大方县双山镇法书村五组滑坡.csv,,,other,False,user,18576,,,,,,
遵义市仁怀市茅坝镇黎民村曹家沟组曹家沟1号点滑坡.csv,,,other,False,user,1217,,,,,,
黔东南州雷山县丹江镇脚猛村二、九、十组滑坡.csv,,,other,False,user,14592,,,,,,
遵义市习水县永安镇楠木村岩下组岩下滑坡.csv,,,other,False,user,966,,,,,,
黔西南州兴义市白碗窑镇普哈村黑箐脚组黑箐脚滑坡.csv,,,other,False,user,18576,,,,,,
黔西南州晴隆县沙子镇沙子村二组王汉庄滑坡.csv,,,other,False,user,1354,,,,,,
六盘水市六枝特区月亮河彝族布依族苗族乡补雨村沙坝四组滑坡.csv,,,other,False,user,1358,,,,,,
黔东南州雷山县大塘镇小河村小河沟组滑坡.csv,,,other,False,user,966,,,,,,
铜仁市德江县长堡镇绿化村新房子下组滑坡.csv,,,other,False,user,966,,,,,,
黔东南州榕江县平江镇怀来村故郎组滑坡.csv,,,other,False,user,1400,,,,,,
六盘水市盘州市丹霞镇赵官屯村18组杨家湾滑坡.csv,,,other,False,user,18576,,,,,,
遵义市绥阳县温泉镇温泉村闷塘窝组滑坡.csv,,,other,False,user,1367,,,,,,
六盘水市盘州市竹海镇石门村1组汤家寨滑坡.csv,,,other,False,user,20633,,,,,,
遵义市习水县醒民镇自力村十、十一组中埂上滑坡.csv,,,other,False,user,18576,,,,,,
黔南州贵定县昌明镇良田村毛栗树组滑坡.csv,,,other,False,user,18576,,,,,,
黔东南州丹寨县扬武镇龙塘村二组干立滑坡.csv,,,other,False,user,14593,,,,,,
贵阳市修文县六桶镇关寨村老白头组滑坡.csv,,,other,False,user,18639,,,,,,
黔南州三都县都江镇来术村四组滑坡.csv,,,other,False,user,14593,,,,,,
毕节市黔西市素朴镇古胜村平井五组新寨厂滑坡.csv,,,other,False,user,1420,,,,,,
黔东南州剑河县柳川镇南埃村3、4组干拿滑坡.csv,,,other,False,user,966,,,,,,
铜仁市玉屏县朱家场镇柴冲村韦子组韦子滑坡.csv,,,other,True,user,697,,,,,,
毕节市威宁县金钟镇独乍村中心组李家包包滑坡.csv,,,other,False,user,18576,,,,,,
遵义市习水县习酒镇新园村杠中岩组杠中岩滑坡.csv,,,other,False,user,18576,,,,,,
六盘水市水城区花戛乡花水村猛丈组滑坡.csv,,,other,False,user,18576,,,,,,
毕节市黔西市新仁乡田坝村水塘组滑坡.csv,,,other,False,user,1212,,,,,,
六盘水市钟山区大河镇裕民村八组燕子岩隧道滑坡.csv,,,other,False,user,20716,,,,,,
毕节市黔西市中坪镇建设社区杨家寨组杨家寨滑坡.csv,,,other,False,user,8048,,,,,,
黔东南州丹寨县扬武镇争光村二组马颈拗滑坡.csv,,,other,False,user,14593,,,,,,
遵义市习水县官店镇民建村前进组大土坪滑坡.csv,,,other,False,user,14442,,,,,,
铜仁市松桃县盘石镇响水洞村一二组桃树湾滑坡.csv,,,other,False,user,18577,,,,,,
黔南州福泉市牛场镇水源村杨家屯组杨家屯滑坡.csv,,,other,False,user,966,,,,,,
黔东南州雷山县大塘镇桃江村田坝寨组滑坡.csv,,,other,False,user,1403,,,,,,
黔西南州兴义市仓更镇下寨村未理湾组滑坡.csv,,,other,False,user,18576,,,,,,
六盘水市盘州市柏果镇团结村4组滑坡.csv,,,other,True,user,18576,,,,,,
铜仁市思南县香坝镇南坝村小沟组小沟滑坡.csv,,,other,False,user,966,,,,,,
六盘水市盘州市鸡场坪镇白龙洞村2组余家沟滑坡.csv,,,other,False,user,20777,,,,,,
黔东南州丹寨县扬武镇宰沙村一组杨明彪（待撤销与DZ87合并）滑坡.csv,,,other,False,user,14592,,,,,,
六盘水市盘州市英武镇上午取村5组周志美家背后滑坡.csv,,,other,False,user,1340,,,,,,
黔东南州台江县台拱街道小红寨村2组滑坡.csv,,,other,False,user,1401,,,,,,
遵义市习水县三岔河镇天水池村农庄组田坎上滑坡.csv,,,other,False,user,16418,,,,,,
毕节市黔西市林泉镇清塘村七组林角湾子滑坡.csv,,,other,False,user,966,,,,,,
铜仁市印江县沙子坡镇凉水村当门沟组滑坡.csv,,,other,False,user,1210,,,,,,
黔西南州普安县盘水街道大榜村张家下寨组张家下寨滑坡.csv,,,other,False,user,1171,,,,,,
